185.84.158.20:2053 S=14 200ms TTFB=831 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.136:443 S=14 200ms TTFB=749 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.17:443 S=14 200ms TTFB=976 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.18:443 S=14 200ms TTFB=977 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.19:443 S=14 200ms TTFB=970 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.127.229:8443 S=14 200ms TTFB=747 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.127.230:8443 S=14 200ms TTFB=751 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.127.232:8443 S=14 200ms TTFB=730 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.92:2083 S=14 200ms TTFB=771 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.92:2087 S=14 200ms TTFB=756 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.32:2083 S=14 200ms TTFB=745 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.32:2096 S=14 200ms TTFB=774 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.92:2096 S=14 200ms TTFB=989 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.141:443 S=14 301ms TTFB=690 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.212:443 S=14 302ms TTFB=508 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.123.174:443 S=14 403ms TTFB=683 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.149:2096 S=14 403ms TTFB=499 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.80:443 S=14 403ms TTFB=500 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.45:2053 S=14 403ms TTFB=504 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.45:8443 S=14 403ms TTFB=506 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.63:2096 S=14 404ms TTFB=497 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.149:2053 S=14 404ms TTFB=497 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.191:443 S=14 404ms TTFB=509 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.191:2096 S=14 404ms TTFB=509 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.233:2096 S=14 404ms TTFB=508 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.138:2053 S=14 404ms TTFB=526 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.138:2096 S=14 404ms TTFB=513 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.243:2096 S=14 404ms TTFB=494 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.149.244:443 S=13 200ms TTFB=1727 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.221:443 S=13 301ms TTFB=861 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.220:443 S=13 301ms TTFB=919 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.195:443 S=13 301ms TTFB=719 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.120:2083 S=13 401ms TTFB=1165 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.120:2087 S=13 401ms TTFB=1114 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.120.242:443 S=13 403ms TTFB=955 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.157:443 S=13 404ms TTFB=739 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.127.228:443 S=13 404ms TTFB=765 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.127:80 S=13 404ms TTFB=342 PROTO=http REL=1.0 CDN=http ALPN=unknown 1.0 0
213.176.6.16:443 S=12 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.22:2053 S=12 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.22:2096 S=11 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.22:8080 S=10 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
